Gene name,Gene symbol,Entrez Gene ID,Gene family,Disease,Comparative genomics,Cortical marker (mouse),Cortical marker (human),Mouse gene symbol,"Visual
h vs m level","Visual
h vs m pattern","Temporal
h vs m level","Temporal
h vs m pattern",h region difference,h region L4 related?,m region difference,h donor difference,pattern description for Fig 2,level description for Fig 2,Level,Pattern,Level,Pattern,Level,Pattern,Level,Pattern,Level,Pattern,Molecular function ,Biological process,Pathway
activating transcription factor 7 interacting protein,ATF7IP,55729,transcription factor,schizophrenia,,,,Atf7ip,,,no mouse coronal data,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,,,++++,ubiquitous,,,Molecular function unclassified,Biological process unclassified,
"ATPase, class V, type 10A",ATP10A,57194,transporter,autism,,,,Atp10a,,,,,,,,,scattered,medium,+++,scattered+VEC,+++,scattered+VEC,+++,scattered+VEC,++,"scattered(5,6b)",++,"scattered(5,6b)",Other transporter;Other hydrolase,Lipid and fatty acid transport;Cation transport,
"ATPase, Na+/K+ transporting, alpha 2 (+) polypeptide",ATP1A2,477,transporter,epilepsy,,astrocyte,astrocyte,Atp1a2,,,no mouse coronal data,,,,,,scattered,high,++++,scattered+glial,++++,scattered+glial,,,++++,"glial,scattered",,,Ion channel;Cation transporter;Other hydrolase,Cation transport;Calcium ion homeostasis,
"ATPase, Na+/K+ transporting, alpha 3 polypeptide",ATP1A3,478,transporter,Parkinson,,,,Atp1a3,,,,,,,,,widespread,high,+++++,scattered+ubiquitous(6),+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,+++++,ubiquitous,+++++,ubiquitous,Ion channel;Cation transporter;Other hydrolase,Cation transport;Calcium ion homeostasis,
"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",ATP2A2,488,transporter,epilepsy,,,,Atp2a2,,,,,,,,,widespread,high,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,+++++,ubiquitous,+++++,ubiquitous,Ion channel;Cation transporter;Other hydrolase,Cation transport;Calcium ion homeostasis,
"ATPase, Ca++ transporting, plasma membrane 4",ATP2B4,493,transporter,,,layer 2/3/6,layer 2/3/6,Atp2b4,,,no mouse coronal data,,,,,,laminar,medium,+++,"layer 2/3,5/6",+++,"layer 2/3,5,6",,,+++++,"layer 2/3,6",,,Ion channel;Cation transporter;Other hydrolase,Cation transport;Calcium ion homeostasis,
"ATPase, H+ transporting, lysosomal accessory protein 2 ",ATP6AP2,10159,transporter,mental retardation,,,,Atp6ap2,,,no mouse coronal data,,,,,,widespread,medium,+++,scattered+ubiquitous,+++,scattered+ubiquitous,,,+++++,ubiquitous,,,Receptor,Biological process unclassified,
"ATPase, Class I, type 8B, member 1",ATP8B1,5205,transporter,,positive selection,,,Atp8b1,h Up,,no mouse coronal data,,,,,,laminar,medium,++++,ubiquitous(6),+++,ubiquitous(6),,,+,sparse to none,,,Other transporter;Other hydrolase,Lipid and fatty acid transport;Cation transport,
ataxia telangiectasia and Rad3 related,ATR,545,kinase,microcephaly,microcephaly,,,Atr,,,no mouse coronal data,,,,,,widespread,medium,++,scattered+ubiquitous,++,scattered+ubiquitous,,,+,ubiquitous,,,Non-receptor serine/threonine protein kinase;Nucleotide kinase,DNA repair;Protein phosphorylation;Cell cycle control,p53 pathway feedback loops 2->ATM;;p53 pathway->Ataxia telangiectasia mutated (ATM) and Rad3-related (ATR);;;
"alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae) ",ATRX,546,other nuclear protein,mental retardation,,,,Atrx,,,,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,+++,ubiquitous,+++++,ubiquitous(2/3),+++++,ubiquitous(2/3),DNA helicase,mRNA transcription regulation,
autism susceptibility candidate 2,AUTS2,26053,other intracellular,autism,,,,Auts2,,,,,,,,,widespread,medium,++,ubiquitous(4C/5),++,ubiquitous(5),++,ubiquitous(5),++++,ubiquitous,++++,ubiquitous,Molecular function unclassified,Biological process unclassified,
arginine vasopressin receptor 1A,AVPR1A,552,GPCR,autism,,,,Avpr1a,,,,,,,,,ND,low,-,none,-,none,-,none,-,none,-,none,G-protein coupled receptor,"G-protein mediated signaling;Calcium mediated signaling;Cell communication;Neuronal activities;Muscle contraction;Lactation, mammary development;Regulation of vasoconstriction, dilation",
arginine vasopressin receptor 1B  ,AVPR1B,553,GPCR,depression,,,,Avpr1b,,,,,,,,,ND,low,+,ubiquitous,+,ubiquitous,+,ubiquitous,+,ubiquitous,+,ubiquitous,G-protein coupled receptor,"G-protein mediated signaling;Cell communication;Muscle contraction;Lactation, mammary development",
arginine vasopressin receptor 2 (nephrogenic diabetes insipidus)  ,AVPR2,554,GPCR,,,,,Avpr2,,,no mouse coronal data,,,,,,ND,low,+,ubiquitous,+,ubiquitous,,,-,none,,,G-protein coupled receptor,"G-protein mediated signaling;Calcium mediated signaling;Cell communication;Neuronal activities;Regulation of vasoconstriction, dilation",
"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2",B3GALT2,8707,metabolic enzyme,,,layer 5/6,layer 5/6,B3galt2,,,,,,,,,laminar,high,++++,layer 5/6,++++,layer(5)6,++++,layer(5)6,+++++,"layer 5,6",+++++,"layer 5, 6",Glycosyltransferase,Protein glycosylation,
beta-site APP-cleaving enzyme 2,BACE2,25825,other membrane protein,Alzheimer,,,,Bace2,,,,,,,,,widespread,medium,+++,scattered+ubiquitous,+++,scattered+ubiquitous,+++,scattered+ubiquitous,++,ubiquitous,++,ubiquitous,Aspartic protease,Proteolysis,Alzheimer disease-amyloid secretase pathway->BACE-1 pro-domain;;Alzheimer disease-amyloid secretase pathway->Beta-site amyloid precursor protein-cleaving enzyme;;Alzheimer disease-presenilin pathway->BACE-1 pro-domain;;Alzheimer disease-presenilin pathway->Pro-BACE-1;;Alzheimer disease-presenilin pathway->Beta-amyloid cleavage enzyme;;Alzheimer disease-amyloid secretase pathway->Pro-BACE-1;;;;;;;
BCL2-antagonist of cell death,BAD,572,signal transduction,other neurodegenerative,,,,Bad,,,,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,++,ubiquitous,+++,ubiquitous,+++,ubiquitous,Molecular function unclassified,Biological process unclassified,
BCL2-associated X protein,BAX,581,signal transduction,other neurodegenerative,,,,Bax,,,no mouse coronal data,,,,,diff,widespread,medium,++,ubiquitous,++,ubiquitous,,,+++,ubiquitous,,,Other signaling molecule,Induction of apoptosis;Gametogenesis;Hematopoiesis;Cell cycle control;Cell proliferation and differentiation;Tumor suppressor,p53 pathway->BCL2-associated X protein;;Apoptosis signaling pathway->Bcl-2 associated x protein;;Huntington disease->Bcl-2-associated X protein;;;;
brevican,BCAN,63827,extracellular matrix,,,astrocyte,astrocyte,Bcan,,,,,,,,,scattered,high,++++,scattered,++++,scattered,++++,scattered,+++++,"glial,scattered",+++++,"glial,scattered",Extracellular matrix glycoprotein,Cell adhesion;Neurogenesis;Mesoderm development,
butyrylcholinesterase,BCHE,590,metabolic enzyme,Alzheimer,,,,Bche,,,,,,,,,ND,low,+,sparse to none,+,sparse to none,+,sparse to none,+,sparse to none,+,sparse to none,Esterase,Neuromuscular synaptic transmission,Nicotinic acetylcholine receptor signaling pathway->acetylcholinesterase;;Muscarinic acetylcholine receptor 2 and 4 signaling pathway->acetylcholinesterase;;Muscarinic acetylcholine receptor 1 and 3 signaling pathway->acetylcholinesterase;;;;
B-cell CLL/lymphoma 2,BCL2,596,signal transduction,other neurodegenerative,,,,Bcl2,,,no mouse coronal data,,,,,,ND,low,+,ubiquitous,+,ubiquitous,,,++,ubiquitous,,,Other signaling molecule,Inhibition of apoptosis;Oncogenesis,Oxidative stress response->b-cell lymphoma protein-2;;Apoptosis signaling pathway->Bcl-2;;;
BCL2-like 1,BCL2L1,598,signal transduction,other neurodegenerative,,,,Bcl2l1,,,no mouse coronal data,,,,,,widespread,high,++++,ubiquitous,++++,ubiquitous,,,+++,ubiquitous,,,Other signaling molecule,Induction of apoptosis;Inhibition of apoptosis;Oncogene,Apoptosis signaling pathway->Bcl2-related protein long isoform;;Apoptosis signaling pathway->Bcl2-related protein short isoform;;;
B-cell CLL/lymphoma 6 (zinc finger protein 51),BCL6,604,transcription factor,,,layer 5,,Bcl6,,hV-mV,,hT-mT,,,,,widespread,high,+++++,sparse(5)+ubiquitous,+++++,sparse(5)+ubiquitous,+++++,sparse(5)+ubiquitous,+++++,layer 5+ubiquitous,+++++,layer 5+ubiquitous,Zinc finger transcription factor,mRNA transcription,
BCL6 co-repressor,BCOR,54880,other nuclear protein,mental retardation,,,,Bcor,,,no mouse coronal data,,,,,,widespread,high,++++,ubiquitous,++++,ubiquitous,,,++++,scattered+ubiquitous,,,Molecular function unclassified,Biological process unclassified,
brain-derived neurotrophic factor,BDNF,627,peptide ligand,schizophrenia,,,,Bdnf,,,,,,,,,scattered,high,+++++,"scattered(2/3,6)",+++++,"scattered(2/3,6)",+++++,"scattered(2/3,6)",+++++,"scattered(2/3,5d,6)",+++++,"scattered(2/3,5d,6)",Neurotrophic factor,Receptor protein tyrosine kinase signaling pathway;Ligand-mediated signaling;Nerve-nerve synaptic transmission;Inhibition of apoptosis;Neurogenesis,Huntington disease->Brain-derived neurotrophic factor;;Metabotropic glutamate receptor group II pathway->brain-derived neurotrophic factor;;Huntington disease->Brain-derived neurotrophic factor;;;;
BEN domain containing 5,BEND5,79656,other intracellular,,,layer 5,layer 3/5,2310026E23Rik,,hV-mV,,hT-mT,17 ≠ 18,yes,,,laminar,medium,+++,"layer 2/3,4C,5/6",+++,ubiquitous,+++,"layer 2/3, 5",+++,layer 5,+++,layer 5,Molecular function unclassified,Biological process unclassified,
bleomycin hydrolase ,BLMH,642,metabolic enzyme,Alzheimer,,,,Blmh,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,++,ubiquitous,,,Cysteine protease,Proteolysis,
"breast cancer 1, early onset",BRCA1,672,transcription factor,microcephaly,,,,Brca1,,,no mouse coronal data,,,,,,ND,low,+,ubiquitous,+,ubiquitous,,,+,sparse to none,,,Zinc finger transcription factor,DNA repair;mRNA transcription regulation;Cell cycle control;Tumor suppressor,
bromodomain containing 7,BRD7,29117,other nuclear protein,,positive selection,,,Brd7,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,+++,ubiquitous,,,Chromatin/chromatin-binding protein,Biological process unclassified,
bassoon (presynaptic cytomatrix protein),BSN,8927,synaptic protein,other neurodegenerative,,,,Bsn,,,,,,,,,widespread,high,++++,"ubiquitous(2/3,4C,5/6)",++++,ubiquitous,++++,ubiquitous,++++,ubiquitous,++++,ubiquitous,Other cell adhesion molecule;Other membrane traffic protein,Neurotransmitter release;Cell structure,
BTB (POZ) domain containing 11,BTBD11,121551,other membrane protein,,,interneuron,interneuron,Btbd11,,,,,,,,,scattered,high,++++,scattered,++++,scattered,++++,scattered,+++++,scattered,+++++,scattered,Growth factor,Cell proliferation and differentiation,
"butyrophilin, subfamily 2, member A1",BTN2A1,11120,other membrane protein,,positive selection,,,,no mouse ortholog,,no mouse ortholog,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,,,,,Molecular function unclassified,"Lactation, mammary development",
chromosome 11 open reading frame 87,C11orf87,399947,other membrane protein,,positive selection,,,AI593442,,,,,17 ≠ 18,yes,,,widespread,high,++++,"scattered+ubiquitous(2/3,4C,5/6)",++++,scattered+ubiquitous,++++,scattered+ubiquitous,+++++,ubiquitous(2/3)+scattered(5),+++++,ubiquitous(2/3)+scattered(5),Molecular function unclassified,Biological process unclassified,
"complement component 1, q subcomponent-like 2",C1QL2,165257,peptide ligand,,,highly regional,layer 2/3,C1ql2,h Up,,h Up,,,,,,laminar,medium,+++,ubiquitous(2),+++,ubiquitous(2),++++,ubiquitous(2),-,none,-,none,Complement component,Complement-mediated immunity,
chromosome 20 open reading frame 103,C20orf103,24141,other membrane protein,,,layer 2/3/5,layer 2/3,6330527O06Rik,,hV-mV,,hT-mT,,,,,laminar,high,+++++,layer 2/3+scattered,+++++,"layer 2,3+scattered",+++++,layer 2/3+scattered,+++++,layer 2/3/5,+++++,layer 2/3/5,Molecular function unclassified,Biological process unclassified,
Chromosome 21 open reading frame 57 ,C21orf57,54059,other intracellular,,HLS: (IMAGE clone ID)50904,,,A130042E20Rik,h Up,,no mouse coronal data,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,,,+,sparse to none,,,Molecular function unclassified,Biological process unclassified,
chromosome 4 open reading frame 31,C4orf31,79625,extracellular matrix,,,interneuron/layer1,interneuron/layer1,A930038C07Rik,,,,,,,,,laminar,high,+++++,layer 1,+++++,layer 1,+++++,layer 1,+++++,layer 1+sparse,+++++,layer 1+sparse,Molecular function unclassified,Biological process unclassified,
chromosome 7 open reading frame 44 ,C7orf44,55744,other membrane protein,,positive selection,,,,no mouse ortholog,,no mouse coronal data,,,,,,widespread,medium,+++,scattered+ubiquitous,+++,ubiquitous,,,,,,,Molecular function unclassified,Biological process unclassified,
chromosome 8 open reading frame 59 ,C8orf59,401466,other intracellular,,positive selection,,,1810022K09Rik,,,no mouse coronal data,,,,,,ND,low,+,ubiquitous,+,ubiquitous,,,+,ubiquitous,,,Molecular function unclassified,Biological process unclassified,
carbonic anhydrase II,CA2,760,metabolic enzyme,mental retardation,microarray expression,oligodendrocyte,oligodendrocyte,Car2,,,,,,,,,widespread,high,+++++,"scattered,oligodendrocyte",+++++,"scattered,oligodendrocyte",+++++,"scattered,oligodendrocyte",+++++,oligodendrocyte,+++++,oligodendrocyte,Dehydratase,Other carbon metabolism,
carbonic anhydrase 3,CA3,761,metabolic enzyme,autism,,,,Car3,,,no mouse coronal data,,,,,,ND,low,-,none,-,none,,,,,,,Dehydratase,Other carbon metabolism,
"calcium channel, voltage-dependent, L type, alpha 1B subunit",CACNA1B,774,ion channel,pain,,,,Cacna1b,,,no mouse coronal data,,17 ≠ 18,yes,,,widespread,medium,+++,"layer 2/3,6",+++,ubiquitous,,,+++,ubiquitous,,,Voltage-gated calcium channel,Cation transport;Neurotransmitter release;Muscle contraction,Metabotropic glutamate receptor group III pathway->Calcium Channel;;Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway->Calcium ion channel;;Thyrotropin-releasing hormone receptor signaling pathway->Ca2+ channel;;Metabotropic glutamate receptor group II pathway->Calcium Channel;;Endogenous_cannabinoid_signaling->Voltage-dependent Ca channel;;Ionotropic glutamate receptor pathway->Calcium Channel;;GABA-B_receptor_II_signaling->Voltage-dependent Ca channel;;;;;;;;
"calcium channel, voltage-dependent, L type, alpha 1C subunit",CACNA1C,775,ion channel,autism,,,,Cacna1c,,,no mouse coronal data,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,,,+++,ubiquitous,,,Voltage-gated calcium channel,Cation transport;Neurotransmitter release;Muscle contraction,5HT2 type receptor mediated signaling pathway->Ca2+ channel;;Beta1 adrenergic receptor signaling pathway->Ca2+ channel;;Oxytocin receptor mediated signaling pathway->Ca2+ channel;;Nicotinic acetylcholine receptor signaling pathway->Calcium Channel;;Alzheimer disease-amyloid secretase pathway->L-type calcium channels;;Beta2 adrenergic receptor signaling pathway->Ca2+ channel;;;;;;;
"calcium channel, voltage-dependent, L type, alpha 1D subunit",CACNA1D,776,ion channel,,,,,Cacna1d,,,no mouse coronal data,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,,,++++,"ubiquitous(2/3,5,6)",,,Voltage-gated calcium channel,Cation transport;Neurotransmitter release;Muscle contraction,5HT2 type receptor mediated signaling pathway->Ca2+ channel;;Beta1 adrenergic receptor signaling pathway->Ca2+ channel;;Oxytocin receptor mediated signaling pathway->Ca2+ channel;;Nicotinic acetylcholine receptor signaling pathway->Calcium Channel;;Alzheimer disease-amyloid secretase pathway->L-type calcium channels;;Beta2 adrenergic receptor signaling pathway->Ca2+ channel;;;;;;;
"calcium channel, voltage-dependent, alpha 1E subunit",CACNA1E,777,ion channel,,,,layer 2/3/6,Cacna1e,,hV-mV,,hT-mT,,,,,laminar,medium,+++,"layer 2/3,6",+++,"layer 2/3,6",+++,"layer 2/3,6",+++++,ubiquitous,+++++,ubiquitous,Voltage-gated calcium channel,Cation transport;Neurotransmitter release;Muscle contraction,Metabotropic glutamate receptor group III pathway->Calcium Channel;;Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway->Calcium ion channel;;Thyrotropin-releasing hormone receptor signaling pathway->Ca2+ channel;;Metabotropic glutamate receptor group II pathway->Calcium Channel;;Ionotropic glutamate receptor pathway->Calcium Channel;;;;;;
"calcium channel, voltage-dependent, alpha 1F subunit",CACNA1F,778,ion channel,,,,,Cacna1f,,,no mouse coronal data,,,,,,scattered,medium,++,scattered,++,scattered,,,++,ubiquitous,,,Voltage-gated calcium channel,Cation transport;Neurotransmitter release;Muscle contraction,5HT2 type receptor mediated signaling pathway->Ca2+ channel;;Beta1 adrenergic receptor signaling pathway->Ca2+ channel;;Oxytocin receptor mediated signaling pathway->Ca2+ channel;;Nicotinic acetylcholine receptor signaling pathway->Calcium Channel;;Alzheimer disease-amyloid secretase pathway->L-type calcium channels;;Beta2 adrenergic receptor signaling pathway->Ca2+ channel;;;;;;;
"calcium channel, voltage-dependent, alpha 1G subunit",CACNA1G,8913,ion channel,,,,,Cacna1g,,,,,17 ≠ 18,yes,,,widespread,medium,+++,"layer 2/3,4C,5/6",+++,ubiquitous,+++,ubiquitous,++++,ubiquitous,++++,ubiquitous,Voltage-gated calcium channel,Cation transport;Neurotransmitter release;Muscle contraction,Endogenous_cannabinoid_signaling->Voltage-dependent Ca channel;;GABA-B_receptor_II_signaling->Voltage-dependent Ca channel;;;
"calcium channel, voltage-dependent, alpha 1I subunit",CACNA1I,8911,ion channel,,,,,Cacna1i,,,,,17 ≠ 18,yes,,,widespread,medium,+++,"layer 2/3,4C,5/6",+++,ubiquitous,+++,ubiquitous,+++,ubiquitous,+++,ubiquitous,Voltage-gated calcium channel,Cation transport;Neurotransmitter release;Muscle contraction,
"calcium channel, voltage-dependent, L type, alpha 1S subunit",CACNA1S,779,ion channel,,,,,Cacna1s,,,no mouse coronal data,,,,,,ND,low,+,ubiquitous,+,ubiquitous,,,+,sparse to none,,,Voltage-gated calcium channel,Cation transport;Neurotransmitter release;Muscle contraction,5HT2 type receptor mediated signaling pathway->Ca2+ channel;;Beta1 adrenergic receptor signaling pathway->Ca2+ channel;;Oxytocin receptor mediated signaling pathway->Ca2+ channel;;Nicotinic acetylcholine receptor signaling pathway->Calcium Channel;;Alzheimer disease-amyloid secretase pathway->L-type calcium channels;;Beta2 adrenergic receptor signaling pathway->Ca2+ channel;;;;;;;
"calcium channel, voltage-dependent, alpha 2/delta subunit 1",CACNA2D1,781,ion channel,,,,,Cacna2d1,h Down,,,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,++,ubiquitous,++++,ubiquitous,++++,ubiquitous,Voltage-gated calcium channel,Calcium mediated signaling;Protein targeting;Cation transport,Muscarinic acetylcholine receptor 2 and 4 signaling pathway->L-type Calcium Channel;;
